age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,nps_score,tx_count_30d,avg_tx_amount,failed_tx,support_tickets
18,F,Village,Platinum Membership,2017-08-17,No,Gift Vouchers/Coupons,?,Wi-Fi,16:08:02,320,300.63,53005.25,17.0,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,0,4,74,908.82,45,0
32,F,City,Premium Membership,2017-08-28,?,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:38:13,18,306.34,12838.38,10.0,686.88,Yes,No,Yes,Solved,Quality Customer Care,0,3,73,536.62,33,5
44,F,Town,No Membership,2016-11-11,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:53:21,102,516.16,21027.0,22.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,1,4,27,668.29,12,2
37,M,City,No Membership,2016-10-29,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:57:50,193,53.27,25239.56,6.0,567.66,No,Yes,Yes,Unsolved,Poor Website,1,6,32,508.17,41,9
31,F,City,No Membership,2017-09-12,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:46:44,40,113.13,24483.66,16.0,663.06,No,Yes,Yes,Solved,Poor Website,1,6,18,27.63,41,3
13,M,City,Gold Membership,2016-01-08,No,Gift Vouchers/Coupons,?,Wi-Fi,06:46:07,119,433.62,13884.77,24.0,722.27,Yes,No,Yes,Unsolved,No reason specified,0,1,77,433.15,48,1
21,M,Town,Gold Membership,2015-03-19,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:40:04,261,55.38,8982.5,28.0,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,0,1,71,348.69,21,9
42,M,?,No Membership,2016-07-12,?,Credit/Debit Card Offers,Both,Fiber_Optic,07:52:43,135,429.11,44554.82,24.0,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,1,3,33,633.1,24,8
44,M,Village,Silver Membership,2016-12-14,No,Without Offers,Smartphone,Fiber_Optic,06:50:10,84,191.07,18362.31,20.0,686.88,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0,2,78,293.17,3,9
45,F,Town,No Membership,2016-11-30,No,Gift Vouchers/Coupons,?,Wi-Fi,19:10:16,98,97.31,19244.16,28.0,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,1,8,87,935.1,21,3
25,F,Village,Basic Membership,2016-05-22,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,05:57:20,258,570.23,35119.93,8.0,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,1,8,56,759.5,5,9
60,M,City,Gold Membership,2016-01-13,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:56:11,296,55.53,41672.02,33.02,798.12,Yes,No,No,Not Applicable,Too many ads,0,8,89,675.08,19,4
11,M,Town,No Membership,2015-01-31,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,04:42:50,60,41.09,44007.18,18.0,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,1,9,23,810.65,8,7
34,M,City,Basic Membership,2016-12-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:35:05,309,89.76,21318.19,6.0,686.88,No,Yes,No,Not Applicable,Poor Product Quality,1,0,26,507.09,1,9
40,M,City,Premium Membership,2016-11-19,No,Without Offers,?,Fiber_Optic,21:01:43,183,100.59,14842.62,26.0,686.88,No,Yes,No,Not Applicable,Poor Website,0,7,87,126.63,0,4
16,F,Town,Basic Membership,2017-07-09,?,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13:48:22,323,30.14,18792.31,7.0,141.5132013,Yes,No,Yes,Unsolved,Too many ads,1,1,86,867.81,39,9
57,F,City,No Membership,2016-01-27,No,Without Offers,?,Wi-Fi,20:58:28,35,333.34,47241.32,8.0,686.88,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1,5,39,730.02,22,2
11,M,Town,Silver Membership,2017-01-02,Yes,Gift Vouchers/Coupons,?,Wi-Fi,03:42:26,299,275.13,29072.86,26.0,733.97,Yes,No,No,Not Applicable,Poor Customer Service,0,5,21,332.79,22,8
39,M,Town,No Membership,2017-11-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:39:05,174,241.74,33170.16,6.0,551.11,Yes,No,Yes,No Information Available,No reason specified,1,7,89,351.04,24,1
45,M,City,Premium Membership,2016-02-03,No,Without Offers,?,Mobile_Data,11:46:54,50,31.15,66982.61,8.0,164.800769,Yes,No,Yes,Unsolved,Products always in Stock,0,2,44,632.74,17,9
33,M,Village,No Membership,2015-12-03,No,Without Offers,Desktop,Wi-Fi,18:50:35,126,49.86,44289.97,25.0,703.96,Yes,No,No,Not Applicable,Poor Customer Service,1,6,29,828.96,21,3
30,M,Village,No Membership,2016-07-29,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:55:48,134,30.37,49404.86,23.0,630.61,Yes,No,Yes,No Information Available,Poor Website,1,7,97,879.76,36,9
19,F,Town,Platinum Membership,2017-01-22,No,Gift Vouchers/Coupons,?,Mobile_Data,23:04:40,138,483.03,52702.67,3.0,389.3564432,No,Yes,Yes,No Information Available,User Friendly Website,0,1,12,999.82,39,9
48,M,Town,Basic Membership,2017-11-10,Yes,Without Offers,Smartphone,Fiber_Optic,19:10:29,113,72.52,15860.41,3.21,529.03,No,Yes,No,Not Applicable,No reason specified,0,3,37,75.93,31,8
43,M,City,No Membership,2015-08-14,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,06:23:02,220,108.3,21725.57,21.0,225.0044276,No,Yes,No,Not Applicable,Poor Website,1,7,59,344.08,45,8
29,F,Town,Silver Membership,2016-04-09,No,Without Offers,Desktop,Fiber_Optic,20:56:20,80,300.38,12069.06,7.0,777.31,No,Yes,No,Not Applicable,Too many ads,0,6,25,849.88,33,9
10,M,City,Gold Membership,2015-11-10,Yes,Credit/Debit Card Offers,?,Wi-Fi,17:25:38,192,100.65,8515.5,6.0,757.7,Yes,No,No,Not Applicable,No reason specified,0,1,54,747.07,25,0
20,F,Village,No Membership,2016-12-08,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:29:25,199,272.31,42743.44,12.0,687.26,Yes,No,No,Not Applicable,Poor Product Quality,1,0,34,41.99,31,4
61,F,Village,Silver Membership,2017-05-14,?,Gift Vouchers/Coupons,?,Fiber_Optic,07:48:25,187,-936.7448179,29156.1,10.0,710.38,Yes,No,Yes,No Information Available,No reason specified,1,5,46,72.88,33,8
10,M,Town,Gold Membership,2016-01-12,No,Credit/Debit Card Offers,?,Wi-Fi,10:16:14,114,127.37,15719.24,10.0,634.88,Yes,No,Yes,Unsolved,Poor Website,1,1,49,872.03,18,9
17,F,City,No Membership,2015-11-25,?,Without Offers,Desktop,Fiber_Optic,21:06:46,216,162.93,31100.95,11.0,633.05,No,Yes,Yes,Solved,Too many ads,1,4,73,581.29,23,8
60,M,Town,No Membership,2016-11-02,Yes,Without Offers,Desktop,Fiber_Optic,20:03:13,38,498.09,48125.94,27.0,686.88,No,Yes,No,Not Applicable,Poor Product Quality,1,7,15,823.53,35,7
11,F,?,Gold Membership,2016-07-28,Yes,Without Offers,Desktop,Wi-Fi,09:36:43,198,185.53,60143.68,4.0,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0,2,15,34.37,6,6
60,M,City,Gold Membership,2017-07-02,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,02:31:33,255,537.25,1773.49,6.0,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,0,2,45,484.34,34,0
12,M,City,Premium Membership,2015-03-02,No,Credit/Debit Card Offers,Desktop,Wi-Fi,21:45:25,287,198.26,26105.24,7.0,721.36,Yes,No,No,Not Applicable,Poor Customer Service,0,9,59,639.58,27,8
52,M,Town,Silver Membership,2015-10-08,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:17:22,198,119.47,10101.48,28.0,158.5477645,Yes,No,No,Not Applicable,Poor Website,1,9,98,639.47,44,8
30,M,City,Basic Membership,2016-10-13,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:46:55,25,68.19,21111.9,23.0,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1,3,71,738.87,29,1
26,M,?,No Membership,2017-11-29,Yes,Without Offers,Desktop,Wi-Fi,14:55:59,157,215.89,41979.65,9.0,686.88,No,Yes,No,Not Applicable,Too many ads,1,8,16,646.22,6,1
26,F,Town,No Membership,2017-07-01,Yes,Without Offers,Desktop,Wi-Fi,04:16:41,338,194.85,5912.06,13.0,568.34,Yes,No,No,Not Applicable,Too many ads,1,5,47,287.73,2,6
49,F,Village,Platinum Membership,2017-06-09,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,23:11:17,320,706.36,19062.25,15.98,780.58,Yes,No,No,Not Applicable,Poor Product Quality,0,8,32,494.59,1,9
24,M,City,Premium Membership,2016-10-10,?,Without Offers,Desktop,Fiber_Optic,21:06:08,213,210.44,35531.98,25.0,745.49,Yes,No,No,Not Applicable,Poor Product Quality,0,9,28,984.41,40,1
22,M,Town,No Membership,2017-06-02,Yes,Without Offers,?,Wi-Fi,00:22:50,307,-930.2078443,8415.63,17.0,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1,3,43,563.76,25,8
33,F,Town,Premium Membership,2017-02-02,?,Credit/Debit Card Offers,Desktop,Wi-Fi,05:06:03,105,394.26,34697.85,19.0,752.3,Yes,No,Yes,No Information Available,Poor Website,0,2,68,626.41,22,7
17,M,City,Platinum Membership,2015-12-20,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,01:51:39,290,348.07,94100.72,4.0,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,0,5,25,176.74,22,8
36,M,Village,Silver Membership,2016-11-28,Yes,Gift Vouchers/Coupons,?,Mobile_Data,06:06:05,2,691.09,17989.46,15.98,686.88,No,Yes,Yes,Solved,No reason specified,1,9,3,97.74,30,0
12,M,City,Premium Membership,2017-02-13,No,Without Offers,Desktop,Mobile_Data,22:27:40,189,33.09,55607.35,15.98,686.88,Yes,No,No,Not Applicable,User Friendly Website,0,5,5,890.28,15,3
58,F,Village,Gold Membership,2017-11-09,No,Without Offers,Smartphone,Mobile_Data,21:21:14,71,30.78,48080.03,10.0,713.62,Yes,No,No,Not Applicable,Poor Product Quality,0,0,65,496.53,3,9
41,M,Town,Platinum Membership,2016-11-20,No,Without Offers,Both,Fiber_Optic,23:21:15,141,282.87,27528.03,27.0,743.8,Yes,No,No,Not Applicable,Poor Website,0,3,40,599.54,36,2
30,M,City,Platinum Membership,2015-12-11,?,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14:13:01,300,100.42,86433.91,15.98,719.93,No,Yes,Yes,Unsolved,Reasonable Price,0,0,76,721.05,27,3
50,M,City,Premium Membership,2015-10-25,No,Credit/Debit Card Offers,Desktop,Wi-Fi,03:10:02,248,154.7,24197.4,29.0,686.88,No,Yes,Yes,Solved,Too many ads,0,7,50,58.57,16,4
23,M,Village,Gold Membership,2015-10-22,Yes,Without Offers,?,Wi-Fi,14:01:02,55,65.25,5136.08,15.98,755.22,No,Yes,No,Not Applicable,Poor Customer Service,0,7,22,694.29,39,5
38,M,Town,Gold Membership,2017-10-15,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12:05:44,118,324.75,28535.13,27.0,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,0,0,99,396.22,11,6
20,M,City,Silver Membership,2015-01-27,Yes,Without Offers,Desktop,Fiber_Optic,04:11:19,146,237.39,25000.09,16.0,704.4,No,Yes,No,Not Applicable,Poor Website,1,6,20,99.5,5,4
35,F,Village,Gold Membership,2016-10-30,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,05:36:03,39,148.24,30984.56,11.0,729.04,Yes,No,No,Not Applicable,Poor Customer Service,0,8,88,616.46,19,7
43,M,Town,Premium Membership,2017-04-26,Yes,Without Offers,Both,Wi-Fi,03:32:50,331,773.83,9091.94,20.0,700.4,No,Yes,No,Not Applicable,Poor Product Quality,0,2,44,402.24,3,8
32,M,City,Silver Membership,2017-07-24,Yes,Without Offers,?,Fiber_Optic,02:35:02,287,117.68,19822.82,43.36,686.88,Yes,No,No,Not Applicable,Too many ads,0,8,39,639.38,31,1
40,F,Town,Platinum Membership,2015-08-22,?,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:27:38,204,251.06,63416.63,12.0,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0,3,48,67.08,30,4
40,F,Town,Silver Membership,2017-08-21,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,02:12:51,322,46.57,24045.93,8.0,709.73,No,Yes,No,Not Applicable,Poor Product Quality,0,9,88,616.28,41,2
48,F,Town,No Membership,2017-03-17,?,Credit/Debit Card Offers,Smartphone,Wi-Fi,08:24:51,153,539.49,49270.76,12.0,503.95,Yes,No,No,Not Applicable,Too many ads,1,7,2,840.74,2,2
35,M,Town,Premium Membership,2015-05-11,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:20:14,15,34.48,48679.07,6.0,779.59,Yes,No,No,Not Applicable,Poor Product Quality,0,5,97,116.19,19,5
28,M,Village,Gold Membership,2017-05-17,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:42:14,68,-615.344319,13131.05,13.0,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,0,4,58,313.37,24,6
44,F,?,No Membership,2016-08-23,Yes,Without Offers,Both,Wi-Fi,22:22:17,247,283.49,7603.71,15.98,553.45,Yes,Yes,Yes,Unsolved,No reason specified,1,1,3,831.21,31,6
40,M,Town,Premium Membership,2017-01-31,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:31:59,22,33.82,39735.58,25.0,784.32,Yes,No,Yes,No Information Available,Too many ads,0,0,42,756.28,29,5
18,F,City,Basic Membership,2016-06-17,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,21:33:45,311,156.06,4783.23,28.76,597.87,Yes,No,Yes,No Information Available,Too many ads,0,2,71,696.48,38,3
10,M,?,Basic Membership,2015-06-08,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:07:18,300,31.67,25436.23,15.98,656.67,No,Yes,No,Not Applicable,Poor Website,1,5,8,297.47,36,6
35,M,Town,No Membership,2017-11-27,Yes,Without Offers,Smartphone,Mobile_Data,22:34:23,225,157.03,22975.33,18.0,548.1,No,Yes,No,Not Applicable,Poor Website,1,9,89,359.67,40,6
43,M,Town,No Membership,2015-04-06,No,Credit/Debit Card Offers,?,Mobile_Data,13:41:04,22,227.23,29602.15,24.0,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,1,1,22,448.24,15,4
28,M,Village,Basic Membership,2017-10-29,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:46:58,229,457.33,20883.28,14.0,-549.3574977,No,Yes,No,Not Applicable,Too many ads,1,3,6,133.33,24,2
53,M,Town,Platinum Membership,2017-01-27,No,Without Offers,?,Fiber_Optic,12:50:50,280,228.02,46353.54,19.0,302.0058985,Yes,No,Yes,No Information Available,No reason specified,0,5,97,694.68,26,3
55,F,Town,Premium Membership,2017-09-03,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:22:34,274,42.77,8996.95,15.98,749.56,Yes,No,Yes,Unsolved,Poor Website,0,4,91,199.45,9,2
59,F,Town,No Membership,2017-06-08,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:53:03,221,207.52,12556.28,10.0,-44.59763258,No,Yes,No,Not Applicable,No reason specified,1,5,58,795.13,13,2
39,M,City,No Membership,2016-12-01,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,04:04:47,298,98.57,2645.63,23.0,674.42,No,Yes,No,Not Applicable,Poor Product Quality,1,6,14,221.53,32,3
11,M,City,Gold Membership,2016-06-22,No,Credit/Debit Card Offers,?,Wi-Fi,01:42:15,62,176.31,8983.02,25.0,707.46,No,Yes,Yes,Solved,Poor Product Quality,1,4,17,43.44,3,1
37,M,Village,No Membership,2016-05-17,?,Without Offers,Both,Mobile_Data,03:29:16,174,687.16,29101.96,18.0,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,1,2,17,760.16,41,1
53,M,City,No Membership,2017-04-06,No,Credit/Debit Card Offers,Desktop,Wi-Fi,06:24:30,248,253.96,19233.1,25.0,1032.199126,Yes,No,Yes,Solved,Poor Website,1,7,19,595.06,22,7
57,M,Town,No Membership,2016-01-02,No,Without Offers,Desktop,Fiber_Optic,03:26:00,268,119.1,44341.82,15.98,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,1,9,26,431.9,5,6
47,M,Town,Silver Membership,2015-07-22,?,Without Offers,?,Wi-Fi,17:26:06,292,131.86,26399.43,17.0,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0,5,14,70.4,28,1
50,M,Town,Gold Membership,2015-01-21,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,18:29:15,250,65.39,17054.69,21.0,353.3690015,No,Yes,Yes,Solved,No reason specified,0,7,32,151.27,17,9
49,F,City,Silver Membership,2016-08-25,Yes,Gift Vouchers/Coupons,?,Wi-Fi,10:39:05,271,74.9,41612.23,28.0,1196.569315,No,Yes,Yes,Solved in Follow-up,No reason specified,1,9,49,711.85,7,3
54,M,Town,Silver Membership,2017-06-21,?,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:30:27,135,-687.629574,42060.89,24.0,684.69,Yes,No,Yes,No Information Available,Poor Website,1,5,72,811.7,42,6
30,M,Village,Gold Membership,2016-09-17,No,Without Offers,Desktop,Fiber_Optic,10:45:58,111,97.74,32347.7,27.0,686.88,No,Yes,No,Not Applicable,Poor Customer Service,0,6,40,525.24,34,2
25,F,City,Silver Membership,2015-08-20,?,Without Offers,?,Mobile_Data,04:45:26,212,135.21,3561.26,17.0,686.88,Yes,No,Yes,Solved,Too many ads,0,7,70,45.71,33,7
53,F,City,Premium Membership,2015-04-02,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:35:56,108,172.99,9044.15,8.0,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0,0,83,186.38,8,8
54,M,?,Basic Membership,2015-08-07,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:26:54,218,254.72,11345.66,7.0,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,5,39,708.05,33,4
